file	name	crap
WorkoutTracker/App/ApplicationError.swift	ApplicationError.code.get	10.0
WorkoutTracker/App/ApplicationError.swift	ApplicationError.message.get	10.0
WorkoutTracker/Fixtures/UITestFixture.swift	UITestFixture.block(for:)	7.0
WorkoutTracker/Models/SetLog.swift	SetLog.init(formatted:)	9.0
WorkoutTracker/Parsing/SetLogPlacementNarration.swift	SetLogPlacementResolution.rowScanNarration(setIndex:anchor:)	8.0
WorkoutTracker/Parsing/SheetLayoutInterpreter.swift	SheetLayoutExerciseAnchor.setLogPlacement(for:in:cols:)	11.0
WorkoutTracker/Parsing/SheetLayoutInterpreter.swift	SheetLayoutExerciseAnchor.visibleSetLogRow(for:compactHeaderSetOne:in:)	7.0
WorkoutTracker/Parsing/SheetParser.swift	parsedSetsForLine(snapshot:cols:anchor:line:)	7.0
WorkoutTracker/Progress/ActiveSetPresentation.swift	ActiveSupersetPresentation.init(exercises:activeSetID:)	7.0
WorkoutTracker/Progress/ActiveSetPresentation.swift	ExerciseSummaryRowPresentation.init(exercise:)	7.0
WorkoutTracker/Progress/RestPillPresentation.swift	RestPillPresentation.accessibilityLabel(kind:minutes:seconds:)	8.0
WorkoutTracker/Progress/SupersetState.swift	SupersetState.focusedSetID(whenNormalFocusIs:in:)	7.0
WorkoutTracker/Progress/SupersetState.swift	SupersetState.nextSetID(after:in:)	7.0
WorkoutTracker/Sheets/GoogleSheetsClient.swift	GoogleSheetsClient.rowVisibility(from:)	8.0
WorkoutTracker/Sheets/GoogleSheetsClient.swift	GoogleSheetsClient.valuesGrid(from:)	8.0
WorkoutTracker/Sheets/LocalWorkbookSheetsClient.swift	LocalWorkbook.Tab.init(from:)	8.2
WorkoutTracker/Sheets/LocalWorkbookSheetsClient.swift	LocalWorkbookSheetsClient.applying(_:to:range:)	7.0
WorkoutTracker/Sheets/LocalWorkbookSheetsClient.swift	LocalWorkbookSheetsClient.parseRange(_:)	7.0
WorkoutTracker/Sheets/SheetWriter.swift	SheetWritePlanner.compactAggregateHeaderValue(for:target:actual:in:)	11.0
WorkoutTracker/Sheets/SheetWriter.swift	SheetWritePlanner.multiLineNotesValue(for:target:actual:in:)	7.0
WorkoutTracker/Sheets/SheetWriter.swift	SheetWritePlanner.resolveTarget(for:in:)	10.0
WorkoutTracker/Sheets/SheetWriter.swift	SheetWriterError.errorDescription.get	8.0
WorkoutTracker/Stores/ExerciseSetPendingWriteReplay.swift	ExerciseSet.apply(_:)	7.0
WorkoutTracker/Stores/SettingsStore.swift	SettingsSheetSwitchStore.requestSwitch(to:)@2	6.1
WorkoutTracker/Stores/SyncCoordinator.swift	SyncCoordinator.backfillLastPerformed(spreadsheetId:currentBlock:historicalTabs:)	9.0
WorkoutTracker/Stores/SyncCoordinator.swift	SyncCoordinator.flushPending(spreadsheetId:)	7.0
WorkoutTracker/Stores/SyncCoordinator.swift	SyncCoordinator.flushPendingWrites(_:context:)	8.0
WorkoutTracker/Stores/SyncCoordinator.swift	SyncCoordinator.localLoggedAtBySetID()	7.0
WorkoutTracker/Stores/SyncCoordinator.swift	SyncCoordinator.plan(_:context:snapshots:batch:)	9.7
WorkoutTracker/Stores/SyncStatusBannerPresentation.swift	SyncStatusBannerPresentation.init(state:)	7.0
WorkoutTracker/Theme.swift	Theme.swiftUIWeight(_:)	7.0
